ACT ID,Title TH,Title EN,Agoda ID
261,โทรศัพท์สายตรง,Direct dial telephone,
262,ห้องน้ำสำหรับผู้พิการ,Disability-friendly bathroom,
263,เครื่องล้างจาน,Dishwasher,142
264,ห้องแต่งตัว,Dressing room,213
265,เครื่องเล่นดีวีดี / ซีดี,DVD/CD player,46
266,ผ้าห่มไฟฟ้า,Electric blanket,214
267,กาต้มน้ำไฟฟ้า,Electric kettle,
268,ห้องรับรองพิเศษ,Executive lounge access,100
269,เตียงเสริม,Extra beds on demand,
270,เตียงยาวพิเศษ (> 2 เมตร),Extra long beds (> 2 meters),102
271,พัดลม,Fan,85
272,เครื่องดับเพลิง,Fire extinguisher,280
272,เครื่องดับเพลิง,Fire extinguisher,397
273,เตาผิง,Fireplace,388
273,เตาผิง,Fireplace,242
273,เตาผิง,Fireplace,216
274,ชุดปฐมพยาบาล,First aid kit,279
274,ชุดปฐมพยาบาล,First aid kit,396
275,ห้องออกกำลังกาย,Fitness room,
276,เครื่องดื่มต้อนรับ,Free welcome drink,217
277,ตู้เย็น,Fridge,
278,ครัวขนาดใหญ่,Full kitchen,275
279,ห้องเล่นเกม,Game room,106
280,สวน,Garden,68
281,เครื่องปิ้งย่าง / เตาบาร์บีคิว,Grill / BBQ,
282,เครื่องเป่าผม,Hair dryer,30
282,เครื่องเป่าผม,Hair dryer,372
283,เครื่องทำความร้อน,Heating,384
283,เครื่องทำความร้อน,Heating,143
284,Hi-Fi,Hi-Fi,
285,อ่างน้ำร้อน,Hot tub,402
285,อ่างน้ำร้อน,Hot tub,54
286,แม่บ้าน,Housekeeping,
287,เครื่องเพิ่มความชื้นในอากาศ,Humidifier,218
288,อ่างอาบน้ำระบบนวดด้วยพลังน้ำ,Hydro-massage bath,
289,เครื่องปรับอากาศปรับได้อิสระ,Individually adjustable air conditioning,
290,เครื่องทำความร้อนที่สามารถปรับได้,Individually adjustable heating,
291,สระว่ายน้ำในร่ม,Indoor swimming pool,401
291,สระว่ายน้ำในร่ม,Indoor swimming pool,52
292,ห้องชมภาพยนตร์,Inhouse movies,28
293,มีห้องเชื่อมต่อถึงกัน,Interconnecting room(s) available,103
294,อินเทอร์เน็ต,Internet access,90
295,อินเทอร์เน็ต - LAN,Internet access - LAN,
296,อินเทอร์เน็ต - LAN (มีค่าใช้จ่าย),Internet access - LAN (Charges apply),78
297,อินเทอร์เน็ต - LAN (ฟรี),Internet access - LAN (Complimentary),77
298,อินเทอร์เน็ตไร้สาย,Internet access - Wireless,31
299,อินเทอร์เน็ตไร้สาย (มีค่าใช้จ่าย),Internet access - Wireless (Charges apply),76
299,อินเทอร์เน็ตไร้สาย (มีค่าใช้จ่าย),Internet access - Wireless (Charges apply),373
299,อินเทอร์เน็ตไร้สาย (มีค่าใช้จ่าย),Internet access - Wireless (Charges apply),374
300,อินเทอร์เน็ตไร้สาย (ฟรี),Internet access - Wireless (Complimentary),381
300,อินเทอร์เน็ตไร้สาย (ฟรี),Internet access - Wireless (Complimentary),380
300,อินเทอร์เน็ตไร้สาย (ฟรี),Internet access - Wireless (Complimentary),75
301,แท่นวาง iPod,iPod docking station,146
302,ชุดโต๊ะรีดผ้า,Ironing set,375
302,ชุดโต๊ะรีดผ้า,Ironing set,33
303,ครัว,Kitchen,393
304,ชุดเครื่องครัว (จานและถ้วย),DVD / CD player,
305,ครัวขนาดเล็ก,Kitchenette,42
306,พื้นที่ทำงานสำหรับวาง Labtop,Laptop friendly workspace,276
307,ตู้นิรภัยสำหรับ Labtop,Laptop safe box,101
308,ชั้นที่จำกัดการเข้าถึง,Limited access floor,340
309,ห้องสมุด,Library,121
310,ผ้าปูที่นอนผ้า,Linens,220
310,ผ้าปูที่นอนผ้า,Linens,389
311,ตู้,Locker,221
312,ห้องนั่งเล่น,Living room,
313,กระจกแต่งหน้า,Make-up mirror,
314,ไมโครเวฟ,Microwave,41
315,ตู้เย็นขนาดเล็ก,Mini fridge,
316,มินิบาร์,Minibar,
317,กระจกเงา,Mirror,
318,มุ้งกันยุง,Mosquito net,148
319,อ่างน้ำแบบเปิด,Open air bath access,350
320,ไม่มีห้องน้ำสำหรับผู้พิการ,No disability-friendly bathroom,
321,ห้องปลอดบุหรี่,Non-smoking rooms,
322,หลายห้องนอน,Number of bedrooms,
323,สระว่ายน้ำกลางแจ้ง,Outdoor swimming pool,65
323,สระว่ายน้ำกลางแจ้ง,Outdoor swimming pool,404
324,เตาอบ,Oven,
325,การเสริมออกซิเจน,Oxygen enrichment,
326,ภาพยนตร์ (มีค่าใช้จ่าย),Pay movies,
327,อนุญาตให้นำสัตว์เลี้ยงเข้าพัก,Pets allowed in room,342
328,เมนูหมอน,Pillow menu,
329,ช่องเสียบ adaptor,Plug adaptor,
330,ห้องน้ำส่วนตัว,Private bath,338
331,พื้นที่ชายหาดส่วนตัว,Private beach area,66
332,ทางเข้าส่วนตัว,Private entrance,223
332,ทางเข้าส่วนตัว,Private entrance,390
333,สระน้ำส่วนตัว,Private pool,50
333,สระน้ำส่วนตัว,Private pool,379
334,วิทยุ,Radio,
335,ตู้นิรภัย,Safe,34
336,ทีวีดาวเทียม,Satellite TV,44
337,ซาวน่า,Sauna,58
338,สายวัด,Scale,224
339,บริเวณที่นั่ง,Seating area,99
340,พื้นที่รับประทานอาหาร,Separate dining area,98
341,ห้องนั่งเล่น,Separate living room,234
342,แยกฝักบัวและอ่างอาบน้ำ,Separate shower & tub,39
343,ชุดจักรเย็บผ้า,Sewing kit,225
344,อ่างอาบน้ำรวม,Shared bath,
345,ห้องอาบน้ำรวม,Shared bathroom,84
346,ชุดรองเท้า,Shoeshine kit,226
347,ฝักบัว,Shower,38
348,ที่เก็บสกี,Ski storage,
349,อุปกรณ์สกีถึงประตู,Ski to door acces,
350,รองเท้าแตะ,Slippers,227
351,เครื่องตรวจจับควัน,Smoke detector,277
351,เครื่องตรวจจับควัน,Smoke detector,394
352,ห้องสูบบุหรี่,Smoking rooms,
353,โซฟา,Sofa,228
354,เตียงโซฟา,Sofa bed,
355,ห้องอาบแดด,Solarium,132
356,ห้องเก็บเสียง,Soundproofing,144
357,แท็บเล็ต,Tablet,
358,ปิงปอง,Table tennis,135
359,อุปกรณ์ชงชาและกาแฟ,Tea & coffee making facilities,47
359,อุปกรณ์ชงชาและกาแฟ,Tea & coffee making facilities,378
360,โทรศัพท์,Telephone,139
361,โทรศัพท์ในห้องน้ำ,Telephone in the bathroom,206
362,โทรทัศน์,Television,35
362,โทรทัศน์,Television,36
362,โทรทัศน์,Television,376
363,โทรทัศน์ในห้องน้ำ,Television in bathroom,229
364,ระเบียง,Terrace,43
365,เครื่องปิ้งขนมปัง,Toaster,
366,ห้องน้ำ,Toilet,
367,อุปกรณ์อาบน้ำ,Toiletries,141
368,ผ้าขนหนู,Towel,230
368,ผ้าขนหนู,Towel,391
369,ผ้าขนหนูและผ้าปูเตียง (มีค่าใช้จ่าย),Towels & bed linen at surcharge,
370,เครื่องรีดกางเกง,Trouser press,140
371,ห้องอบไอน้ำตุรกี,Turkish steam bath,
372,บริการจัดเตียง,Turndown service,
373,ร่ม,Umbrella,231
374,วิดีโอเกมคอนโซล,Video games console,
375,บริการโทรปลุก,Wake-up service,195
376,เครื่องซักผ้า,Washing machine,382
376,เครื่องซักผ้า,Washing machine,87
377,ชุดเซตต้อนรับ,Welcome pack,
378,รถเข็นคนพิการสามารถเข้าถึงได้,Wheelchair-accessible,405
379,อ่างอาบน้ำวน,Whirlpool bathtub,45
380,Wi-Fi,Wi-Fi,
381,ไม่มีหน้าต่าง,Without windows,
382,พื้นไม้ / ปาร์เก้,Wooden / parqueted flooring,233
383,สบู่อาบน้ำ,Body soap,
384,น้ำดื่ม,Bottle of water,49
385,ช็อคโกแลตและคุกกี้,Chocolate & cookies,
386,กาแฟ,Coffee,211
386,กาแฟ,Coffee,386
387,เครื่องปรับอากาศ,Conditioner,
388,สำลีก้อน,Cotton balls,
389,สำลีก้าน,Cotton swabs,
390,ผลิตภัณฑ์ล้างหน้าและมือ,Face & hand wash,
391,ผลไม้,Fruit,
392,หวี,Hair brush,
393,เครื่องเป่าผม,Hair dryer,372
393,เครื่องเป่าผม,Hair dryer,30
394,ครีมทาผิว,Lotion,
395,น้ำยาล้างเครื่องสำอาง,Makeup remover,
396,มินิบาร์,Mini bar,40
397,ชุดนอน,Nightgown,
398,มีดโกน,Razor,
399,แชมพูสระผม,Shampoo,383
400,ยาขัดรองเท้า,Shoe polish,
401,รองเท้าแตะ,Slippers,
402,ขนมขบเคี้ยว,Snack,
403,กระดาษชำระ,Toilet paper,
404,อุปกรณ์อาบน้ำ,Toiletries,141
405,โทนเนอร์,Toner,
406,แปรงสีฟัน,Toothbrush,
407,ซักฟองน้ำ,Washing sponge,
